symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL250725C00110000,2025-06-30 04:00:00+00:00,97.5,97.5,97.26,97.26,6.0,3.0,97.34
AAPL250725C00110000,2025-07-03 04:00:00+00:00,104.52,104.77,104.52,104.75,10.0,10.0,104.683
AAPL250725C00110000,2025-07-08 04:00:00+00:00,100.38,100.38,100.38,100.38,2.0,1.0,100.38
AAPL250725C00110000,2025-07-09 04:00:00+00:00,99.13,99.45,99.13,99.45,2.0,2.0,99.29
AAPL250725C00110000,2025-07-16 04:00:00+00:00,100.43,100.43,100.43,100.43,20.0,1.0,100.43
AAPL250725C00110000,2025-07-17 04:00:00+00:00,100.05,101.48,100.05,101.07,27.0,6.0,101.02037
AAPL250725C00110000,2025-07-21 04:00:00+00:00,106.0,106.0,102.19,102.19,5.0,4.0,104.252
